id,category,satellite_name,tle_line1,tle_line2,inclination,eccentricity,period,perigee,apogee,epoch,raan,arg_perigee,mean_anomaly,mean_motion,semi_major_axis,velocity,orbit_type,satellite_age,bstar,rev_num,norad_number,ephemeris_type,intl_designator
2617,active,STARLINK-2371,1 47911U 21021BD  25017.31362826  .00006622  00000+0  46288-3 0  9990,2 47911  53.0565 356.0414 0001642  90.5836 269.5341 15.06410465213069,53.05650000000001,0.0001642,95.59147612533347,546.1793474394526,548.4536213729316,2025-01-17 07:31:37.481664,356.0414,90.5836,269.5341,15.06410465,6925.316484406192,7.586632990396562,LEO,2,0.00046288000000000004,21306,47911,0,21021BD
6305,active,GHOST-1,1 56195U 23054T   25017.25359173  .00023983  00000+0  56004-3 0  9992,2 56195  97.3416 278.4854 0008912 107.4369 252.7853 15.42153631 98860,97.3416,0.0008912,93.37591087252707,433.81532044333744,445.96753011976034,2025-01-17 06:05:10.325472,278.4854,107.4369,15.42153631,15.42153631,6817.891425281548,7.646168201374676,LEO,2,0.00056004,9886,56195,0,23054T
6306,active,GHOST-2,1 56197U 23054V   25017.27685499  .00036119  00000+0  70726-3 0  9991,2 56197  97.3404 280.0654 0009043 102.1791 258.0473 15.47272175 98972,97.3404,0.0009043,93.06701324219185,418.6950926756763,430.9987215919173,2025-01-17 06:38:40.271136,280.0654,102.1791,15.47272175,15.47272175,6802.846907133797,7.654618295074114,LEO,2,0.00070726,9897,56197,0,23054V
6310,active,NUSAT-38 (MARIA AGNESI),1 56202U 23054AA  25017.52810668  .00039519  00000+0  94234-3 0  9991,2 56202  97.3446 280.5123 0017542 124.0578 236.2337 15.41299432 99012,97.3446,0.0017542,93.42766045994364,430.44584470455993,454.3745718793316,2025-01-17 12:40:28.417152,280.5123,124.0578,15.41299432,15.41299432,6820.410208291946,7.644756202946789,LEO,2,0.00094234,9901,56202,0,23054AA
6311,active,NUSAT-37 (JOAN CLARKE),1 56203U 23054AB  25017.52752433  .00039160  00000+0  94440-3 0  9998,2 56203  97.3073 278.1732 0008908  89.7420 270.4848 15.41080481 99049,97.3073,0.0008908,93.44093431548693,436.9800085216293,449.1324022571516,2025-01-17 12:39:38.102112,278.1732,89.742,15.41080481,15.41080481,6821.05620538939,7.644394191030955,LEO,2,0.0009444000000000001,9904,56203,0,23054AB
6314,active,TAIFA-1,1 56208U 23054AG  25017.53088808  .00095890  00000+0  10806-2 0  9997,2 56208  97.3307 283.5614 0008915  81.5853 278.6415 15.62179569 99264,97.3307,0.0008915,92.17890366609961,375.4733857070596,387.5255732789965,2025-01-17 12:44:28.730112,283.5614,81.5853,15.62179569,15.62179569,6759.499479493028,7.679122902004133,LEO,2,0.0010806000000000001,9926,56208,0,23054AG
6315,active,GHGSAT-C7,1 56209U 23054AH  25017.61870325  .00012298  00000+0  34031-3 0  9998,2 56209  97.3440 278.1104 0011959 102.0959 258.1626 15.37072669 98862,97.344,0.0011959,93.68457516955564,446.7365427298173,463.0794921259012,2025-01-17 14:50:55.9608,278.1104,102.0959,15.37072669,15.37072669,6832.90801742786,7.637761638403979,LEO,2,0.00034031,9886,56209,0,23054AH
6298,active,GHGSAT-C8,1 56186U 23054J   25017.57456209  .00014724  00000+0  40699-3 0  9991,2 56186  97.3451 277.8422 0008728 123.8886 236.3190 15.37097911 98835,97.3451,0.0008728,93.68303669498644,448.8695143769992,460.7969080304765,2025-01-17 13:47:22.164576,277.8422,123.88859999999998,15.37097911,15.37097911,6832.833211203738,7.637803447601384,LEO,2,0.00040699000000000003,9883,56186,0,23054J
6318,active,KEPLER-20,1 56217U 23054AR  25017.24827876  .00036467  00000+0  81524-3 0  9992,2 56217  97.3487 278.9830 0010773 107.4661 252.7765 15.43355100 98863,97.3487,0.0010773,93.30321971916898,429.011475373708,443.693679436984,2025-01-17 05:57:31.284864,278.983,107.4661,15.433551,15.433551,6814.352577405346,7.648153357973598,LEO,2,0.00081524,9886,56217,0,23054AR
6319,active,KEPLER-21,1 56218U 23054AS  25017.28556514  .00022883  00000+0  55963-3 0  9990,2 56218  97.3384 277.6317 0008296 106.2302 253.9858 15.40771955 98821,97.3384,0.0008296,93.45964503877539,438.30724230291344,449.62624952773604,2025-01-17 06:51:12.828096,277.6317,106.2302,15.40771955,15.40771955,6821.966745915324,7.6438840182874745,LEO,2,0.00055963,9882,56218,0,23054AS
